2021-06-03 12:19:09,Epoch : ,  1, Train Loss : ,0.38623667, Validation Loss : ,0.29260004, Accuracy : ,0.96142435, Precision : ,0.00043834, Recall : ,0.06030834, F1_score : ,0.00087036, TP : ,64.19658661, FP : ,44850.76171875, FN : ,724.85900879, TN : ,1046271.31250000
2021-06-03 12:27:01,Epoch : , 12, Train Loss : ,0.05284769, Validation Loss : ,0.05250413, Accuracy : ,0.99631459, Precision : ,0.27983892, Recall : ,0.44854310, F1_score : ,0.34465382, TP : ,720.12396240, FP : ,4465.22900391, FN : ,68.93162537, TN : ,1045615.31250000
2021-06-03 12:27:44,Epoch : , 13, Train Loss : ,0.04691172, Validation Loss : ,0.04702135, Accuracy : ,0.99074411, Precision : ,0.34678921, Recall : ,0.41287160, F1_score : ,0.37695616, TP : ,600.41241455, FP : ,10410.53906250, FN : ,188.64317322, TN : ,1045735.00000000
2021-06-03 12:28:27,Epoch : , 14, Train Loss : ,0.04130494, Validation Loss : ,0.03693133, Accuracy : ,0.97584641, Precision : ,0.38355961, Recall : ,0.47030461, F1_score : ,0.42252585, TP : ,695.37609863, FP : ,30696.90234375, FN : ,93.67948914, TN : ,1045640.18750000
2021-06-03 12:29:10,Epoch : , 15, Train Loss : ,0.03579059, Validation Loss : ,0.03349823, Accuracy : ,0.96324039, Precision : ,0.45371351, Recall : ,0.46919429, F1_score : ,0.46132407, TP : ,716.52142334, FP : ,46303.38671875, FN : ,72.53419495, TN : ,1045619.00000000
2021-06-03 12:29:56,Epoch : , 16, Train Loss : ,0.03193510, Validation Loss : ,0.02935699, Accuracy : ,0.91734761, Precision : ,0.42303598, Recall : ,0.44873050, F1_score : ,0.43550459, TP : ,674.37609863, FP : ,106102.91406250, FN : ,114.67948914, TN : ,1045661.25000000
2021-06-03 12:31:35,Epoch : , 17, Train Loss : ,0.02996742, Validation Loss : ,0.02704603, Accuracy : ,0.92973834, Precision : ,0.39436021, Recall : ,0.46650136, F1_score : ,0.42740804, TP : ,662.13037109, FP : ,90189.28125000, FN : ,126.92521667, TN : ,1045673.31250000
2021-06-04 10:54:37,Epoch : , 18, Train Loss : ,0.02677587, Validation Loss : ,0.02487316, Accuracy : ,0.97578216, Precision : ,0.40389842, Recall : ,0.47639555, F1_score : ,0.43716168, TP : ,714.72222900, FP : ,30340.23242188, FN : ,74.33333588, TN : ,1045620.68750000
2021-06-04 10:57:34,Epoch : , 19, Train Loss : ,0.02349668, Validation Loss : ,0.02290867, Accuracy : ,0.98659581, Precision : ,0.46569598, Recall : ,0.43391991, F1_score : ,0.44924673, TP : ,681.75646973, FP : ,15737.56054688, FN : ,107.29914856, TN : ,1045653.75000000
2021-06-04 10:58:17,Epoch : , 20, Train Loss : ,0.02085777, Validation Loss : ,0.02106690, Accuracy : ,0.94807339, Precision : ,0.45917171, Recall : ,0.51921368, F1_score : ,0.48735037, TP : ,735.41241455, FP : ,66792.86718750, FN : ,53.64316559, TN : ,1045600.12500000
2021-06-04 10:59:00,Epoch : , 21, Train Loss : ,0.01879304, Validation Loss : ,0.01739302, Accuracy : ,0.94546181, Precision : ,0.46609068, Recall : ,0.50574374, F1_score : ,0.48510823, TP : ,733.47650146, FP : ,70984.79687500, FN : ,55.57906342, TN : ,1045601.81250000
2021-06-04 10:59:43,Epoch : , 22, Train Loss : ,0.01732100, Validation Loss : ,0.01684762, Accuracy : ,0.92293340, Precision : ,0.46386027, Recall : ,0.50438511, F1_score : ,0.48327464, TP : ,726.96368408, FP : ,99865.60937500, FN : ,62.09188461, TN : ,1045608.37500000
2021-06-04 11:00:25,Epoch : , 23, Train Loss : ,0.01578073, Validation Loss : ,0.01484426, Accuracy : ,0.99456191, Precision : ,0.46224973, Recall : ,0.47451231, F1_score : ,0.46830076, TP : ,699.71154785, FP : ,6333.50439453, FN : ,89.34402466, TN : ,1045635.87500000
2021-06-04 11:01:08,Epoch : , 24, Train Loss : ,0.01487818, Validation Loss : ,0.01471559, Accuracy : ,0.99350059, Precision : ,0.39801732, Recall : ,0.47809690, F1_score : ,0.43439734, TP : ,721.50219727, FP : ,7567.37646484, FN : ,67.55342102, TN : ,1045613.81250000
2021-06-04 11:01:50,Epoch : , 25, Train Loss : ,0.01347303, Validation Loss : ,0.01136763, Accuracy : ,0.99499160, Precision : ,0.51318467, Recall : ,0.44967979, F1_score : ,0.47933802, TP : ,681.10900879, FP : ,5771.62841797, FN : ,107.94658661, TN : ,1045654.43750000
2021-06-04 11:02:33,Epoch : , 26, Train Loss : ,0.01205221, Validation Loss : ,0.01134744, Accuracy : ,0.95532757, Precision : ,0.48375699, Recall : ,0.49372512, F1_score : ,0.48869026, TP : ,708.30987549, FP : ,56749.27734375, FN : ,80.74572754, TN : ,1045627.25000000
2021-06-04 11:03:16,Epoch : , 27, Train Loss : ,0.01098354, Validation Loss : ,0.01046182, Accuracy : ,0.98773116, Precision : ,0.46675584, Recall : ,0.46788532, F1_score : ,0.46731991, TP : ,689.94232178, FP : ,14553.92578125, FN : ,99.11325073, TN : ,1045645.50000000
2021-06-04 11:03:59,Epoch : , 28, Train Loss : ,0.01008722, Validation Loss : ,0.00898380, Accuracy : ,0.97101742, Precision : ,0.51179427, Recall : ,0.50587463, F1_score : ,0.50881720, TP : ,706.47436523, FP : ,35795.26953125, FN : ,82.58119965, TN : ,1045628.93750000
